D,sigma_V,sigma_U,K,train_RMSE_A2_P2,test_RMSE_A2_P2
5,0.1,0.5,20,1.22587936170155,1.35006637390186
10,0.1,0.5,20,1.7650786038066,1.89780020686355
5,0.5,0.5,20,1.26422804187885,1.38425743670007
10,0.5,0.5,20,1.76714362167419,1.89652703077827
5,0.1,1,20,1.09725952184256,1.20335404091614
10,0.1,1,20,1.77039009688123,1.87783817114519
5,0.5,1,20,1.10168247177498,1.20711817990014
10,0.5,1,20,1.71895856162148,1.83080929602899
5,0.1,0.5,30,1.21072401594404,1.343709860839
10,0.1,0.5,30,1.81341213051184,1.94391209391365
5,0.5,0.5,30,1.25548781675494,1.38276085612399
10,0.5,0.5,30,1.81805809905461,1.94674812015288
5,0.1,1,30,1.06235283418013,1.17609844364893
10,0.1,1,30,1.8367844207666,1.9389674332237
5,0.5,1,30,1.0628051373612,1.17511306316482
10,0.5,1,30,1.78869773252138,1.89544806950502
